Postcode,Borough,Neighbourhood,Latitude,longitude
M3J,North York,"Northwood Park, York University",43.7694,-79.4921
M3K,North York,"CFB Toronto, Downsview East",43.739,-79.4692
M3L,North York,Downsview West,43.7334,-79.5116
M3M,North York,Downsview Central,43.7319,-79.4928
M3N,North York,Downsview Northwest,43.7568,-79.521
M4A,North York,Victoria Village,43.7276,-79.3148
M4B,East York,"Woodbine Gardens, Parkview Hill",43.7063,-79.3094
M4C,East York,Woodbine Heights,43.6913,-79.3116
M4E,East Toronto,The Beaches,43.6784,-79.2941
M4G,East York,Leaside,43.7124,-79.3644
M4H,East York,Thorncliffe Park,43.7059,-79.3464
M4J,East York,East Toronto,43.6872,-79.3368
M4K,East Toronto,"The Danforth West, Riverdale",43.6803,-79.3538
M4L,East Toronto,"The Beaches West, India Bazaar",43.6693,-79.3155
M4M,East Toronto,Studio District,43.6561,-79.3406
M4N,Central Toronto,Lawrence Park,43.7301,-79.3935
M4P,Central Toronto,Davisville North,43.7135,-79.3887
M4R,Central Toronto,North Toronto West,43.7143,-79.4065
M4S,Central Toronto,Davisville,43.702,-79.3853
M4T,Central Toronto,"Moore Park, Summerhill East",43.6899,-79.3853
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.6861,-79.4025
M4W,Downtown Toronto,Rosedale,43.6827,-79.373
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.6684,-79.3689
M4Y,Downtown Toronto,Church and Wellesley,43.6656,-79.383
M5A,Downtown Toronto,Harbourfront,43.6555,-79.3626
M5B,Downtown Toronto,"Ryerson, Garden District",43.6572,-79.3783
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
M5E,Downtown Toronto,Berczy Park,43.6456,-79.3754
M5G,Downtown Toronto,Central Bay Street,43.6564,-79.38600000000001
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.6496,-79.3833
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.623000000000005,-79.3936
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6469,-79.3823
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6492,-79.3823
M5M,North York,"Bedford Park, Lawrence Manor East",43.7335,-79.4177
M5N,Central Toronto,Roselawn,43.7113,-79.4195
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6966,-79.41199999999999
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6736,-79.4035
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6629,-79.3987
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6541,-79.3978
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6404,-79.3995
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6437,-79.3787
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6492,-79.3823
M6A,North York,"Lawrence Heights, Lawrence Manor",43.7223,-79.4504
M6B,North York,Glencairn,43.7081,-79.4479
M6C,York,Humewood-Cedarvale,43.6915,-79.4307
M6E,York,Caledonia-Fairbanks,43.6889,-79.4507
M6G,Downtown Toronto,Christie,43.6683,-79.4205
M6H,West Toronto,"Dovercourt Village, Dufferin",43.6655,-79.4378
M6J,West Toronto,"Little Portugal, Trinity",43.648,-79.4177
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6383,-79.4301
M6L,North York,"Downsview, North Park, Upwood Park",43.7137,-79.4869
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6934,-79.4857
M6N,York,"The Junction North, Runnymede",43.6748,-79.4839
M6P,West Toronto,"High Park, The Junction South",43.6605,-79.4633
M6R,West Toronto,"Parkdale, Roncesvalles",43.6469,-79.4521
M6S,West Toronto,"Runnymede, Swansea",43.6512,-79.4828
M7A,Queen's Park,Queen's Park,43.6641,-79.3889
M7R,Mississauga,Canada Post Gateway Processing Centre,43.65189,-79.38171
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.7804,-79.2505
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6075,-79.5013
M8W,Etobicoke,"Alderwood, Long Branch",43.6021,-79.5402
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6518,-79.5076
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6325,-79.4939
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6256,-79.5231
M9A,Downtown Toronto,Queen's Park,43.6662,-79.5282
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6505,-79.5517
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6437,-79.5767
M9L,North York,Humber Summit,43.7598,-79.5565
M9M,North York,"Emery, Humberlea",43.7366,-79.5401
M9N,York,Weston,43.7068,-79.517
M9P,Etobicoke,Westmount,43.6949,-79.5323
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6898,-79.5582
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7432,-79.5876
M9W,Etobicoke,Northwest,43.7144,-79.5909
